face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
M03,M,4,younite__dey,younite__dey,유나이트 데이,YOUNITE,DEY,9,0.6617,0.2417,-0.0884
M05,M,1,younite__eunho,younite__eunho,유나이트 은호,YOUNITE,Eunho,12,0.7152,0.0127,-0.0939
M03,M,4,younite__eunsang,younite__eunsang,유나이트 은상,YOUNITE,Eunsang,8,0.7094,0.1823,-0.0930
M06,M,8,younite__hyungseok,younite__hyungseok,유나이트 형석,YOUNITE,Hyungseok,14,0.7775,-0.0999,0.1358
M05,M,1,younite__kyungmun,younite__kyungmun,유나이트 경문,YOUNITE,Kyungmun,11,0.7041,0.1640,-0.0599
M01,M,5,younite__sion,younite__sion,유나이트 시온,YOUNITE,Sion,10,0.7417,0.1029,0.0915
M10,M,10,younite__steve,younite__steve,유나이트 스티브,YOUNITE,Steve,11,0.7315,-0.1959,0.0298
M11,M,9,younite__woono,younite__woono,유나이트 우노,YOUNITE,Woono,11,0.7014,-0.3225,-0.1019
M02,M,3,yuhz__bohyeon,yuhz__bohyeon,YUHZ 보현,YUHZ,Bohyeon,6,0.4811,-0.0550,-0.1278
M06,M,8,yuhz__haruto,yuhz__haruto,YUHZ 하루토,YUHZ,Haruto,6,0.5487,0.1120,0.1083
M10,M,10,yuhz__jaeil,yuhz__jaeil,YUHZ 재일,YUHZ,Jaeil,8,0.5848,-0.0789,-0.1749
M11,M,9,yuhz__junseong,yuhz__junseong,YUHZ 준성,YUHZ,Junseong,8,0.4895,-0.2270,-0.1919
M02,M,3,yuhz__kai,yuhz__kai,YUHZ 카이,YUHZ,Kai,6,0.4188,-0.2448,-0.0932
M02,M,3,yuhz__yeontae,yuhz__yeontae,YUHZ 연태,YUHZ,Yeontae,5,0.3996,0.1358,-0.1863
M06,M,8,zerobaseone__kim_jiwoong,zerobaseone__kim_jiwoong,제로베이스원 김지웅,ZEROBASEONE,Kim Jiwoong,11,0.7032,-0.3902,0.0325
M10,M,10,zerobaseone__kim_taerae,zerobaseone__kim_taerae,제로베이스원 김태래,ZEROBASEONE,Kim Taerae,14,0.6938,0.0223,0.0115
M02,M,3,zerobaseone__park_gunwook,zerobaseone__park_gunwook,제로베이스원 박건욱,ZEROBASEONE,Park Gunwook,13,0.7203,0.2241,-0.1056
M03,M,4,zerobaseone__seok_matthew,zerobaseone__seok_matthew,제로베이스원 석매튜,ZEROBASEONE,Seok Matthew,11,0.7318,-0.0074,0.0055
M01,M,5,zerobaseone__sung_hanbin,zerobaseone__sung_hanbin,제로베이스원 성한빈,ZEROBASEONE,Sung Hanbin,12,0.6997,-0.1681,0.1528
M01,M,5,aimers__eunjun,aimers__eunjun,AIMERS 은준,AIMERS,Eunjun,6,0.6390,0.0375,0.0331
